Kaina	Miestas	Rajonas	M2K	M2Vid	Gr4	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Stat	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	AtsInt	Baldai	Metai	Nuoroda	Skelbimas
1600000	Vilnius	Senamiestis	8888.888889	8411.485998	2	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	180	1	1.98	1	0	1996	http://www.aruodas.lt/namas/vilniuje/parduodamas-didelis-erdvus-butaskotedzasnamo-da/2-237246	file:///C:/Users/Dovile/Desktop/Namai/153.htm
1190000	Vilnius	Senamiestis	9153.846154	8411.485998	2	3	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	130	1	1.89	1	1	1980	http://www.aruodas.lt/namas/vilniuje/parduodamas-13-m-ploto-pilnai-rekonstruotas-kot/2-230843	file:///C:/Users/Dovile/Desktop/Namai/155.htm
2300000	Vilnius	Senamiestis	10697.67442	8411.485998	2	5	Kotedzas	1	Reikia	0	2	Irengtas	Nenauja	0	Murinis	Murinis	215	3.04	1.66	1	0	1600	http://www.aruodas.lt/namas/vilniuje/parduodama-5-kambariu-215m-bendro-ploto-namo-dal/2-230676	file:///C:/Users/Dovile/Desktop/Namai/156.htm
995000	Vilnius	Senamiestis	3980	8411.485998	2	7	Kotedzas	1	Reikia	0	2	Irengtas	Nenauja	0	Murinis	Murinis	250	1.7	3	1	0	1899	http://www.aruodas.lt/namas/vilniuje/parduodamas-kotedzas-vilniaus-senamiestyje-adresa/2-218564	file:///C:/Users/Dovile/Desktop/Namai/157.htm
1500000	Vilnius	Senamiestis	8928.571429	8411.485998	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	168	2.18	2.81	1	0	2004	http://www.aruodas.lt/namas/vilniuje/parduodamas-naujos-statybos-gyvenamasis-namas-su-p/2-214461	file:///C:/Users/Dovile/Desktop/Namai/158.htm
830000	Vilnius	Senamiestis	5763.888889	8411.485998	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	144	2	1.67	1	1	2003	http://www.aruodas.lt/namas/vilniuje/parduodama-namo-dalis-senamiestyje-teatro-g-n/2-246771	file:///C:/Users/Dovile/Desktop/Namai/24.html
1400000	Vilnius	Senamiestis	12389.38053	8411.485998	2	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	113	4.4	2	1	0	1940	http://www.aruodas.lt/namas/vilniuje/apie-nama-parduodama-namo-dalis-gedimino-prospekt/2-241940	file:///C:/Users/Dovile/Desktop/Namai/138.htm
739000	Vilnius	Senamiestis	6158.333333	8411.485998	2	4	Namas	1	Reikia	0	2	Irengtas	Nenauja	0	Murinis	Murinis	120	0.76	2	1	0	1980	http://www.aruodas.lt/namas/vilniuje/demesio-parduodamas-jaukus-namas-senamiestyje/2-221736	file:///C:/Users/Dovile/Desktop/Namai/139.htm
1290000	Vilnius	Verkiai	6615.384615	3962.98866	1	5	Namas	4	Nereikia	1	4	Árengtas	Nauja	1	Murinis	Murinis	195	12	6.53	2	1	2006	http://www.skelbiu.lt/skelbimai/parduodamas-puikus-1-9-5-kv-m-parduodamas-puikus-12349706.html	file:///C:/Users/Dovile/Desktop/Namai/160.htm
1580000	Vilnius	Verkiai	5703.971119	3962.98866	1	5	Kotedzas	4	Nereikia	0	4	Irengtas	Nauja	1	Murinis	Murinis	277	3.5	8.79	2	1	2009	http://www.aruodas.lt/namas/vilniuje/sn-parduodamas-labai-gerai-irengtas-5-k-277-kvm/2-246120	file:///C:/Users/Dovile/Desktop/Namai/20.html
269000	Vilnius	Verkiai	3042.642235	3962.98866	1	3	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	1	Murinis	Murinis	88.41	2	7.3	2	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodu-kotedza-vilniuje-bendras-namo-plotas-/2-246172	file:///C:/Users/Dovile/Desktop/Namai/142.htm
2499999	Vilnius	Verkiai	7485.026946	3962.98866	1	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	334	10	7.27	2	1	1994	http://www.aruodas.lt/namas/vilniuje/parduodamas-prabangus-5-kambariu-334-kvm-namas/2-240811	file:///C:/Users/Dovile/Desktop/Namai/141.htm
350000	Vilnius	Verkiai	2800	3962.98866	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Nemurinis	Medinis	125	6	7.5	2	0	2010	http://www.aruodas.lt/namas/vilniuje/naujos-statybos-rastinis-namas-terasa-6-a/2-247621	file:///C:/Users/Dovile/Desktop/Namai/161.htm
230000	Vilnius	Verkiai	3423.637987	3962.98866	1	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	0	Murinis	Murinis	67.18	6.5	8.2	2	1	1970	http://www.aruodas.lt/namas/vilniuje/parduodamas-6718-kvm-sodo-namas-vanagines-sodu/2-246268	file:///C:/Users/Dovile/Desktop/Namai/163.htm
625000	Vilnius	Verkiai	2790.178571	3962.98866	1	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	224	13	7.3	2	0	1996	http://www.aruodas.lt/namas/vilniuje/parduodamas-namas-verkiuose-ozkiniuose-vieta-g/2-245567	file:///C:/Users/Dovile/Desktop/Namai/165.htm
