Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
198000;Vilnius;Þemieji Paneriai;3;Kotedþas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;88;9;11;1940;http://www.aruodas.lt/namas/vilniuje/parduodamas-namo-dalis-vilniuje-baravyku-g-rastin/2-228105;file:///C:/Users/Dovile/Desktop/Namai/52.htm
120000;Vilnius;Salininkai;4;Namas;Reikia;Árengtas;Nauja;Mûrinis;Mûrinis;98;3;14;2009;http://www.aruodas.lt/namas/vilniuje/parduodamas-sodo-namas-salininkuose-sodu-bendrija/2-240135;file:///C:/Users/Dovile/Desktop/Namai/53.htm
600000;Vilnius;Salininkai;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;143;6;12;2008;http://www.aruodas.lt/namas/vilniuje/2-239245;file:///C:/Users/Dovile/Desktop/Namai/54.htm
510000;Vilnius;Salininkai;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;236;6;12;2005;http://www.aruodas.lt/namas/vilniuje/parduodamas-238-kvm-namas-su-6-a-sklypu-salinin/2-242589;file:///C:/Users/Dovile/Desktop/Namai/55.htm
580000;Vilnius;Rieðë;6;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;220;7;13;2010;http://www.skelbiu.lt/skelbimai/parduodu-nama-rieseje-sienos-paruostos-10795703.html;file:///C:/Users/Dovile/Desktop/Namai/56.html
95000;Vilnius;Salininkai;2;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;70;3;14;1989;http://www.aruodas.lt/namas/vilniuje/parduodamas-1-auksto-su-mansarda-murinis-7-kvm/2-242918;file:///C:/Users/Dovile/Desktop/Namai/57.htm
490000;Vilnius;Antakalnis;5;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;180;8;14;2009;http://www.skelbiu.lt/skelbimai/parduodu-nama-antakalnyje-pragiedruliu-g-uz-11765943.html;file:///C:/Users/Dovile/Desktop/Namai/58.html
299000;Vilnius;Salininkai;5;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;130;5;12;1990;http://www.aruodas.lt/namas/vilniuje/parduodamas-murinis-namas-salininkuose-pardu/2-239605;file:///C:/Users/Dovile/Desktop/Namai/59.htm
400000;Vilnius;Salininkai;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;155;8;12;2004;http://www.aruodas.lt/namas/vilniuje/adresas-salininkai-vilniaus-m-sav-sb-zibute-b/2-237493;file:///C:/Users/Dovile/Desktop/Namai/60.htm
299000;Vilniaus raj.;Rudaminos k.;5;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;211;11;13;2007;http://www.skelbiu.lt/skelbimai/parduodamas-isskirtinis-211-19-m2-parduodamas-12388066.html;file:///C:/Users/Dovile/Desktop/Namai/70.html
